epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71865,1.20787,3.73949,0.89766,0.00289,0.86439,0.17714,0.08423,1.05854,3.68485,0.84974,0.00026672,0.00026672,0.00026672
2,7.87344,1.04119,2.06538,0.8423,0.00273,0.88182,0.03848,0.01374,1.03809,3.56711,0.85336,0.000495649,0.000495649,0.000495649
3,12.0452,0.98215,1.91155,0.88431,0.00278,0.88712,0.01282,0.00698,1.04176,3.43359,0.87571,0.000668467,0.000668467,0.000668467
4,15.7664,0.94429,1.64103,0.87126,0.00266,0.84167,0.02629,0.02014,0.97765,3.3153,0.88223,0.000785174,0.000785174,0.000785174
5,18.8761,0.94028,1.52264,0.86992,1,0.03398,0.73811,0.51691,0.88393,2.56779,0.85431,0.000845769,0.000845769,0.000845769
6,22.6175,0.80421,1.35477,0.85077,1,0.29724,0.90166,0.72335,0.70576,2.01318,0.83492,0.000841835,0.000841835,0.000841835
7,25.989,0.78836,1.3081,0.82349,0.88498,0.7965,0.94101,0.7685,0.70019,1.41244,0.83359,0.000676802,0.000676802,0.000676802
8,29.0741,0.76968,1.24108,0.8433,0.87935,0.92291,0.94878,0.7425,0.73185,1.07161,0.83718,0.000511769,0.000511769,0.000511769
9,32.1476,0.73029,1.09634,0.82953,0.93004,0.85067,0.95039,0.78044,0.66976,0.8128,0.82882,0.000346736,0.000346736,0.000346736
10,36.3034,0.66079,1.21768,0.82921,0.91744,0.86393,0.95124,0.81048,0.61988,0.78555,0.82842,0.000181703,0.000181703,0.000181703
