epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77691,1.22905,3.80572,0.89573,0.00338,1,0.23875,0.09197,1.04938,3.6435,0.82179,0.00026672,0.00026672,0.00026672
2,9.15953,0.92569,1.93661,0.83691,0.00326,0.95833,0.00963,0.00501,0.82937,3.59962,0.79669,0.000495649,0.000495649,0.000495649
3,12.4335,0.95438,1.78836,0.863,0.00344,0.95833,0.02662,0.02116,0.85212,3.35011,0.80533,0.000668467,0.000668467,0.000668467
4,16.7223,0.88354,1.55934,0.86868,0.00326,0.95833,0.09853,0.08084,0.87339,2.98784,0.84801,0.000785174,0.000785174,0.000785174
5,20.6475,0.86997,1.41615,0.85293,0.96169,0.09722,0.50991,0.3639,0.97041,2.48436,0.85069,0.000845769,0.000845769,0.000845769
6,24.1453,0.85341,1.36033,0.85293,0.94532,0.24155,0.75555,0.55294,0.85455,2.07256,0.82649,0.000841835,0.000841835,0.000841835
7,27.2996,0.82546,1.30088,0.8331,0.82594,0.58749,0.8359,0.63768,0.83156,1.67735,0.83387,0.000676802,0.000676802,0.000676802
8,30.474,0.81322,1.26904,0.85866,0.82245,0.64852,0.79137,0.63773,0.72754,1.42558,0.83014,0.000511769,0.000511769,0.000511769
9,34.6696,0.70726,1.16814,0.85251,0.81266,0.75983,0.84973,0.70128,0.64258,1.20376,0.81611,0.000346736,0.000346736,0.000346736
10,37.9335,0.67001,1.09185,0.81444,0.82788,0.82035,0.86284,0.70506,0.68863,0.97166,0.82339,0.000181703,0.000181703,0.000181703
