epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95815,2.24473,4.59384,1.38734,0.00033,0.07692,0.00679,0.00333,1.79928,4.12402,1.43089,0.001,0.001,0.091
2,12.1114,1.89394,2.64738,1.44327,0,0,0,0,nan,nan,nan,0.00209949,0.00209949,0.0810995
3,16.818,1.81114,1.9304,1.42847,0,0,0,0,nan,nan,nan,0.00319687,0.00319687,0.0711969
4,21.5934,1.73373,1.80733,1.38039,0,0,0,0,nan,nan,nan,0.00429055,0.00429055,0.0612906
5,26.6524,1.65167,1.62006,1.3034,0,0,0,0,nan,nan,nan,0.00537892,0.00537892,0.0513789
6,31.2691,1.6144,1.60813,1.2948,0,0,0,0,nan,nan,nan,0.00646039,0.00646039,0.0414604
7,36.4614,1.55409,1.52204,1.30807,0,0,0,0,nan,nan,nan,0.00753336,0.00753336,0.0315334
8,41.1197,1.54113,1.43755,1.30564,0,0,0,0,nan,nan,nan,0.00859629,0.00859629,0.0215963
9,46.2002,1.48173,1.52973,1.27942,0.00023,0.06154,0.00013,4e-05,nan,nan,nan,0.0096476,0.0096476,0.0116476
10,51.3308,1.54272,1.49079,1.31831,0,0,0,0,nan,nan,nan,0.00980345,0.00980345,0.00980345
11,55.9173,1.48211,1.41165,1.23366,0,0,0,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,61.7907,1.52756,1.43964,1.30822,0,0,0,0,nan,nan,nan,0.00970736,0.00970736,0.00970736
13,66.2836,1.45694,1.39721,1.2674,0,0,0,0,nan,nan,nan,0.00965239,0.00965239,0.00965239
14,70.8015,1.42281,1.36329,1.26498,0.00011,0.00769,7e-05,1e-05,4.42481,6.8287,10.131,0.00959289,0.00959289,0.00959289
15,75.8775,1.40159,1.30442,1.20007,0.1,0.00769,0.05114,0.01023,3.94136,6.98291,6.54726,0.00952889,0.00952889,0.00952889
16,80.6419,1.31242,1.3268,1.23348,0,0,0,0,3.78279,6.98388,6.59604,0.00946048,0.00946048,0.00946048
17,86.0389,1.44624,1.23189,1.24639,0.00321,0.41648,0.00412,0.00127,3.06823,6.45132,2.91056,0.00938772,0.00938772,0.00938772
18,91.059,1.33969,1.24187,1.22443,0.01275,0.45495,0.05296,0.00878,2.3533,5.52714,1.92806,0.00931067,0.00931067,0.00931067
19,95.6719,1.34041,1.18388,1.20945,0.00379,0.12454,0.00221,0.0012,2.3242,7.07842,2.02336,0.00922942,0.00922942,0.00922942
20,100.805,1.30798,1.17444,1.21076,0.50454,0.01538,0.00116,0.00055,1.87826,6.21315,1.50323,0.00914405,0.00914405,0.00914405
21,105.347,1.34812,1.21852,1.19877,0.0015,0.03846,0.00131,0.00069,1.79703,6.33202,1.48621,0.00905463,0.00905463,0.00905463
22,110.581,1.36791,1.15693,1.23997,0.00034,0.01538,0.00017,4e-05,1.90327,6.86177,1.88219,0.00896127,0.00896127,0.00896127
23,115.938,1.33858,1.21076,1.22501,0.38502,0.54888,0.43547,0.27337,1.4559,2.6032,1.47706,0.00886404,0.00886404,0.00886404
24,120.512,1.25182,1.14082,1.16701,0.22039,0.34286,0.25439,0.15438,1.44121,2.13614,1.27827,0.00876305,0.00876305,0.00876305
25,125.846,1.21867,1.14438,1.13975,0.29545,0.82308,0.4268,0.26873,1.41317,3.63851,1.25525,0.00865839,0.00865839,0.00865839
26,130.714,1.27411,1.08452,1.15668,0.26485,0.59634,0.36555,0.22993,1.44113,2.00171,1.27919,0.00855018,0.00855018,0.00855018
27,135.1,1.26402,1.11048,1.14285,0.10744,0.05458,0.03192,0.01786,1.9747,15.5175,1.79835,0.00843851,0.00843851,0.00843851
28,140.732,1.23898,1.04777,1.15037,0.61085,0.72088,0.6863,0.48419,1.12352,1.55016,1.05988,0.00832349,0.00832349,0.00832349
29,145.279,1.25252,1.05408,1.17154,0.51349,0.79487,0.64808,0.39878,1.35006,1.41482,1.24238,0.00820525,0.00820525,0.00820525
30,150.25,1.14427,1.02124,1.13055,0.60653,0.73031,0.6462,0.43429,1.23413,1.91971,1.13297,0.00808389,0.00808389,0.00808389
31,155.595,1.22072,1.05209,1.18856,0.65692,0.65018,0.6355,0.39631,1.31651,1.84095,1.14574,0.00795954,0.00795954,0.00795954
32,160.04,1.1785,1.01016,1.11551,0.76062,0.44754,0.61543,0.39148,1.35966,2.18187,1.13193,0.00783231,0.00783231,0.00783231
33,165.702,1.20769,1.04589,1.13345,0.72309,0.81191,0.79142,0.54651,1.14523,1.32815,1.05421,0.00770234,0.00770234,0.00770234
34,170.448,1.1457,0.9824,1.09909,0.80241,0.74176,0.82835,0.58822,1.09905,1.13511,1.04106,0.00756976,0.00756976,0.00756976
35,175.365,1.1931,0.96653,1.12167,0.61971,0.70256,0.7216,0.55471,1.07191,1.16382,1.0499,0.00743468,0.00743468,0.00743468
36,180.743,1.21368,0.97976,1.10556,0.47444,0.58235,0.61508,0.43029,1.14158,1.60533,1.07534,0.00729725,0.00729725,0.00729725
37,185.286,1.22184,1.02642,1.12816,0.40486,0.59459,0.49749,0.3364,1.38136,1.58491,1.27251,0.00715761,0.00715761,0.00715761
38,190.865,1.16077,0.9952,1.10255,0.38817,0.88095,0.60758,0.41001,1.19058,1.2026,1.08287,0.00701588,0.00701588,0.00701588
39,195.664,1.14681,0.95758,1.10281,0.60908,0.74103,0.67222,0.46977,1.10296,1.6474,1.04747,0.00687222,0.00687222,0.00687222
40,200.226,1.27347,0.97556,1.16446,0.72992,0.71795,0.7287,0.54726,1.06786,1.84451,1.03804,0.00672675,0.00672675,0.00672675
41,205.549,1.10413,0.95638,1.0887,0.62565,0.85018,0.81292,0.58583,1.03645,1.14395,1.00767,0.00657963,0.00657963,0.00657963
42,210.314,1.10392,0.97654,1.10895,0.71696,0.7696,0.80868,0.58846,1.12261,1.04778,1.03456,0.00643101,0.00643101,0.00643101
43,215.463,1.12212,0.93849,1.08196,0.64782,0.81868,0.79136,0.51402,1.29085,1.13554,1.07006,0.00628101,0.00628101,0.00628101
44,220.262,1.1533,0.88978,1.10086,0.69082,0.76018,0.73088,0.51793,1.11709,1.16795,1.02233,0.00612981,0.00612981,0.00612981
45,224.901,1.14053,0.92133,1.09654,0.63273,0.82015,0.76589,0.60504,0.94113,1.18338,0.97302,0.00597754,0.00597754,0.00597754
46,230.227,1.13883,0.88256,1.0874,0.68344,0.57745,0.69119,0.49963,1.14009,1.41413,1.0258,0.00582435,0.00582435,0.00582435
47,235.051,1.04109,0.84724,1.07064,0.642,0.69389,0.68561,0.49778,1.19789,1.38686,1.06678,0.0056704,0.0056704,0.0056704
