epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72914,2.22742,4.49963,1.37241,7e-05,0.01613,5e-05,1e-05,2.25198,4.17065,1.69538,0.0011,0.0011,0.0901
2,12.709,1.90262,2.52573,1.59837,0,0,0,0,nan,nan,nan,0.00229944,0.00229944,0.0792994
3,17.6265,1.81587,1.83082,1.56387,0,0,0,0,nan,nan,nan,0.00349658,0.00349658,0.0684966
4,23.2754,1.68103,1.61782,1.4774,0,0,0,0,nan,nan,nan,0.00468967,0.00468967,0.0576897
5,28.8422,1.57726,1.5574,1.38843,0,0,0,0,nan,nan,nan,0.00587697,0.00587697,0.046877
6,33.6809,1.62014,1.57821,1.38024,0,0,0,0,nan,nan,nan,0.00705673,0.00705673,0.0360567
7,39.919,1.69599,1.58175,1.44507,0,0,0,0,nan,nan,nan,0.00822723,0.00822723,0.0252272
8,45.013,1.61678,1.42633,1.40553,0.00012,0.01613,7e-05,1e-05,nan,nan,nan,0.00938675,0.00938675,0.0143867
9,50.7364,1.5256,1.41934,1.37084,0.00026,0.08199,0.00068,9e-05,nan,nan,nan,0.00984449,0.00984449,0.00984449
10,56.1804,1.4925,1.36093,1.32211,5e-05,0.01613,3e-05,1e-05,nan,nan,nan,0.00980345,0.00980345,0.00980345
11,61.7811,1.48944,1.31631,1.35009,0,0,0,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,67.0117,1.414,1.22374,1.29292,0.00025,0.0914,0.00014,6e-05,nan,nan,nan,0.00970736,0.00970736,0.00970736
13,71.9582,1.35109,1.21474,1.31883,0.00143,0.14516,0.0009,0.00028,nan,nan,nan,0.00965239,0.00965239,0.00965239
14,77.3765,1.45179,1.20283,1.34175,0.00558,0.74597,0.00563,0.00241,2.59563,inf,2.26199,0.00959289,0.00959289,0.00959289
15,82.4964,1.38982,1.25587,1.28465,0.033,0.0625,0.0206,0.0064,2.6156,58.4882,2.32152,0.00952889,0.00952889,0.00952889
16,88.018,1.37788,1.21739,1.27908,0.01806,0.2379,0.01033,0.00345,2.96705,61.3134,2.77724,0.00946048,0.00946048,0.00946048
17,93.4116,1.31127,1.1599,1.25389,0.08299,0.37903,0.0458,0.01839,1.94567,127.205,1.76459,0.00938772,0.00938772,0.00938772
18,98.4183,1.37027,1.13199,1.2768,0.1661,0.07258,0.05969,0.02354,2.66364,185.846,2.9258,0.00931067,0.00931067,0.00931067
19,104.344,1.31166,1.1217,1.23415,0.29869,0.37231,0.09593,0.03411,2.82867,7.60143,2.39528,0.00922942,0.00922942,0.00922942
20,109.554,1.40097,1.20909,1.25353,0.15946,0.31534,0.11706,0.03274,2.77145,2.97419,2.42102,0.00914405,0.00914405,0.00914405
21,115.51,1.28143,1.08462,1.22639,0.20666,0.28293,0.1229,0.05646,2.71341,5.35765,2.43613,0.00905463,0.00905463,0.00905463
22,120.841,1.30762,1.1114,1.26177,0.06933,0.38306,0.14668,0.07264,2.25649,4.41496,2.01433,0.00896127,0.00896127,0.00896127
