epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16806,1.20798,3.89156,0.8845,0.00325,0.97619,0.16257,0.0675,1.00299,3.64347,0.83517,0.00026672,0.00026672,0.00026672
2,9.20596,1.02982,2.11671,0.87894,0.0037,1,0.03639,0.01086,0.94055,3.57885,0.84843,0.000495649,0.000495649,0.000495649
3,12.3572,1.11506,2.06893,0.88486,0.00289,0.93846,0.0254,0.01805,0.89925,3.56518,0.84437,0.000668467,0.000668467,0.000668467
4,16.1874,0.97791,1.75333,0.86814,0.00302,0.97692,0.11868,0.0999,0.80884,3.25917,0.82702,0.000785174,0.000785174,0.000785174
5,20.4121,0.95641,1.61653,0.86428,1,0.05321,0.51109,0.37651,0.87524,2.77897,0.85132,0.000845769,0.000845769,0.000845769
6,23.5018,0.89497,1.37018,0.8546,1,0.0929,0.88098,0.63495,0.84886,2.24381,0.85503,0.000841835,0.000841835,0.000841835
7,26.5478,0.92546,1.30993,0.86804,0.91762,0.72491,0.88803,0.69319,0.81529,1.67521,0.85186,0.000676802,0.000676802,0.000676802
8,29.7082,0.75796,1.24012,0.85429,0.87637,0.51429,0.77856,0.62199,0.79616,1.27027,0.85579,0.000511769,0.000511769,0.000511769
9,33.7638,0.76098,1.17223,0.84614,0.84307,0.86601,0.885,0.75732,0.64195,0.98391,0.83148,0.000346736,0.000346736,0.000346736
10,36.8392,0.7019,1.12623,0.83793,0.85494,0.78829,0.89699,0.74839,0.65602,0.83314,0.83101,0.000181703,0.000181703,0.000181703
