epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,245.469,1.11222,0.85454,1.12454,0.51533,0.71061,0.76699,0.52615,1.11235,1.77872,1.05108,0.00582435,0.00582435,0.00582435
47,250.34,1.07637,0.83022,1.102,0.759,0.52086,0.78484,0.60179,0.93261,2.04524,0.97393,0.0056704,0.0056704,0.0056704
48,255.012,1.10169,0.83688,1.11171,0.47508,0.82329,0.74747,0.57147,0.92902,1.33189,0.97696,0.00551584,0.00551584,0.00551584
49,260.291,1.1106,0.8122,1.12373,0.81998,0.69416,0.77791,0.52725,1.16141,1.19557,1.04899,0.00536081,0.00536081,0.00536081
50,265.157,1.03984,0.81233,1.06356,0.73386,0.81894,0.85031,0.64916,0.90824,0.93199,0.95293,0.00520548,0.00520548,0.00520548
51,269.807,1.04623,0.80362,1.08551,0.66994,0.7,0.8296,0.59161,1.04931,1.33001,0.99241,0.00505,0.00505,0.00505
52,274.902,1.038,0.79563,1.08354,0.67149,0.84164,0.80642,0.56493,1.09831,1.15023,1.02018,0.00489452,0.00489452,0.00489452
53,279.409,1.07376,0.833,1.12826,0.5982,0.77452,0.7762,0.59883,0.91023,0.9435,0.96228,0.00473919,0.00473919,0.00473919
54,284.373,1.1211,0.85511,1.12215,0.69657,0.74002,0.74713,0.54029,1.0425,1.08927,1.00757,0.00458416,0.00458416,0.00458416
55,289.427,1.06592,0.78173,1.08556,0.65392,0.53071,0.53608,0.40311,1.06823,1.53264,1.05535,0.0044296,0.0044296,0.0044296
56,293.924,1.08208,0.86369,1.12796,0.76814,0.4186,0.52481,0.40649,1.05636,1.4889,1.06292,0.00427565,0.00427565,0.00427565
57,299.383,1.09413,0.8228,1.1141,0.70322,0.75559,0.79963,0.58647,1.01301,0.94759,0.99426,0.00412246,0.00412246,0.00412246
58,303.823,1.09013,0.81089,1.12938,0.81177,0.60758,0.71476,0.48796,1.14365,1.12077,1.05529,0.00397019,0.00397019,0.00397019
59,308.341,1.02493,0.77491,1.07258,0.74294,0.60382,0.66905,0.52214,1.00627,1.2204,1.02286,0.00381899,0.00381899,0.00381899
60,313.753,1.0111,0.78148,1.06253,0.63617,0.75681,0.79219,0.60073,0.98213,1.05413,0.9797,0.00366899,0.00366899,0.00366899
61,318.314,0.96791,0.70199,1.04702,0.6916,0.68334,0.69372,0.56722,0.81231,1.11862,0.92268,0.00352037,0.00352037,0.00352037
62,322.995,0.98923,0.7316,1.03853,0.7485,0.67574,0.69315,0.52089,0.99943,0.9902,0.97063,0.00337325,0.00337325,0.00337325
63,327.995,1.04503,0.78088,1.105,0.67827,0.51364,0.6345,0.47452,0.98621,1.10646,0.98088,0.00322778,0.00322778,0.00322778
64,332.525,0.9999,0.70501,1.08496,0.75835,0.54935,0.70274,0.54673,0.87192,1.09243,0.9466,0.00308412,0.00308412,0.00308412
65,337.775,0.99184,0.72873,1.05471,0.71821,0.78636,0.81913,0.63004,0.86206,0.91575,0.94334,0.00294239,0.00294239,0.00294239
66,342.235,0.99009,0.73051,1.07506,0.80725,0.62045,0.80918,0.60698,0.92751,1.02823,0.96888,0.00280275,0.00280275,0.00280275
67,346.724,0.98993,0.71371,1.07148,0.63151,0.68434,0.75544,0.55542,1.0589,1.33842,1.01903,0.00266532,0.00266532,0.00266532
68,351.871,0.9883,0.7315,1.05366,0.67349,0.70104,0.71155,0.49075,1.21421,1.25981,1.09721,0.00253024,0.00253024,0.00253024
69,356.385,0.94947,0.67775,1.01763,0.72015,0.75865,0.78377,0.57407,0.97828,0.97149,1.02223,0.00239766,0.00239766,0.00239766
70,361.454,0.98436,0.74661,1.05439,0.79276,0.65305,0.81926,0.57721,1.04229,0.97931,1.04465,0.00226769,0.00226769,0.00226769
71,366.603,1.00598,0.70379,1.02266,0.67075,0.72607,0.81534,0.62401,0.89092,1.08086,0.98796,0.00214046,0.00214046,0.00214046
72,371.362,0.95194,0.71602,1.06302,0.82433,0.75606,0.82413,0.65519,0.83016,0.90661,0.9593,0.00201611,0.00201611,0.00201611
73,376.732,0.96978,0.74351,1.02337,0.63366,0.86649,0.84851,0.67499,0.8029,0.87074,0.93856,0.00189475,0.00189475,0.00189475
74,381.532,0.92306,0.717,1.02742,0.70353,0.8213,0.85763,0.67681,0.85403,0.84404,0.92937,0.00177651,0.00177651,0.00177651
75,385.971,0.95382,0.72617,1.04068,0.67431,0.85017,0.84991,0.67032,0.84754,0.94573,0.94209,0.00166149,0.00166149,0.00166149
76,391.169,0.933,0.68273,1.01231,0.79337,0.84394,0.88164,0.71334,0.77997,0.84316,0.92136,0.00154982,0.00154982,0.00154982
77,395.989,0.90257,0.6495,1.00751,0.71003,0.84495,0.86958,0.66426,0.84476,0.84778,0.95207,0.00144161,0.00144161,0.00144161
78,400.707,0.91178,0.65942,1.03565,0.72,0.92727,0.87701,0.67716,0.83208,0.7999,0.94935,0.00133695,0.00133695,0.00133695
79,405.76,0.94848,0.70175,1.04772,0.73989,0.92223,0.87458,0.67504,0.82246,0.85086,0.94954,0.00123596,0.00123596,0.00123596
80,410.184,0.93823,0.67378,1.03928,0.74293,0.80029,0.79942,0.5975,0.88776,1.30735,0.97889,0.00113873,0.00113873,0.00113873
81,415.538,0.90608,0.66187,1.04254,0.75205,0.74397,0.83128,0.6388,0.86583,1.10653,0.9564,0.00104537,0.00104537,0.00104537
82,420.166,0.90718,0.65504,1.01435,0.76853,0.85148,0.86411,0.67414,0.84351,0.82049,0.93878,0.000955951,0.000955951,0.000955951
83,424.992,0.93573,0.69006,1.02121,0.78161,0.85152,0.87759,0.67285,0.84854,0.75946,0.94329,0.000870577,0.000870577,0.000870577
84,430.085,0.92314,0.66183,1.03137,0.80204,0.85087,0.88442,0.70431,0.82299,0.78059,0.93779,0.000789327,0.000789327,0.000789327
85,434.75,0.87511,0.63683,0.99901,0.7778,0.89394,0.88456,0.70035,0.80816,0.79767,0.93022,0.000712282,0.000712282,0.000712282
86,439.633,0.9011,0.6792,1.00501,0.75351,0.83867,0.87457,0.68495,0.85241,0.86669,0.94082,0.000639518,0.000639518,0.000639518
87,444.549,0.88307,0.61633,1.00039,0.73357,0.84612,0.86247,0.66859,0.86411,0.90192,0.94266,0.000571106,0.000571106,0.000571106
88,448.964,0.87502,0.64009,0.99125,0.72457,0.88356,0.86162,0.67333,0.84052,0.9105,0.93408,0.000507115,0.000507115,0.000507115
89,454.513,0.9239,0.62056,1.02578,0.76777,0.84032,0.86499,0.69599,0.80527,0.87276,0.92012,0.000447606,0.000447606,0.000447606
90,459.136,0.9071,0.65222,1.00554,0.76204,0.85647,0.85862,0.69085,0.78869,0.82756,0.91491,0.00039264,0.00039264,0.00039264
91,466.867,0.82877,0.67244,0.98781,0.73423,0.87925,0.85247,0.69452,0.76018,0.77394,0.90577,0.00034227,0.00034227,0.00034227
92,472.302,0.84014,0.63775,0.99031,0.77638,0.82652,0.85303,0.7123,0.74356,0.73214,0.90182,0.000296546,0.000296546,0.000296546
93,476.574,0.83881,0.59937,0.97085,0.79158,0.88879,0.88194,0.72811,0.71605,0.6735,0.89051,0.000255513,0.000255513,0.000255513
94,481.282,0.84806,0.59027,0.98211,0.7766,0.88908,0.87353,0.72159,0.70947,0.63488,0.88551,0.000219212,0.000219212,0.000219212
95,486.051,0.83855,0.59242,0.96715,0.7603,0.96054,0.86744,0.71611,0.73209,0.63272,0.88741,0.000187678,0.000187678,0.000187678
96,490.779,0.86269,0.61357,1.01153,0.76471,0.89357,0.85957,0.70536,0.75815,0.68357,0.89141,0.000160943,0.000160943,0.000160943
97,495.758,0.82548,0.57788,0.99887,0.75118,0.85455,0.85089,0.69968,0.74859,0.71748,0.89232,0.000139032,0.000139032,0.000139032
98,500.079,0.80376,0.60281,0.97488,0.77973,0.86212,0.86768,0.71599,0.72876,0.6945,0.89116,0.000121968,0.000121968,0.000121968
99,505.083,0.80678,0.60495,0.9874,0.73947,0.88547,0.88731,0.7306,0.71526,0.66635,0.89026,0.000109768,0.000109768,0.000109768
100,509.568,0.83032,0.5823,0.98279,0.70893,0.9197,0.883,0.731,0.71091,0.66442,0.89196,0.000102443,0.000102443,0.000102443
