epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1943,2.18475,4.36501,1.37405,0.00144,0.19672,0.00101,0.00031,2.18347,4.1538,1.51427,0.0011,0.0011,0.0901
2,34.9542,1.93296,2.48683,1.51459,0,0,0,0,nan,nan,nan,0.00229944,0.00229944,0.0792994
3,39.9835,1.81515,2.04345,1.45499,0,0,0,0,nan,nan,nan,0.00349658,0.00349658,0.0684966
4,45.1745,1.68813,1.6863,1.38283,0,0,0,0,nan,nan,nan,0.00468967,0.00468967,0.0576897
5,49.8287,1.68628,1.63616,1.40737,0,0,0,0,nan,nan,nan,0.00587697,0.00587697,0.046877
6,55.4622,1.66102,1.62161,1.39572,0,0,0,0,nan,nan,nan,0.00705673,0.00705673,0.0360567
7,60.0515,1.52883,1.45619,1.33081,0,0,0,0,nan,nan,nan,0.00822723,0.00822723,0.0252272
8,65.182,1.53452,1.3851,1.34371,0,0,0,0,nan,nan,nan,0.00938675,0.00938675,0.0143867
9,70.6951,1.51271,1.39475,1.35952,0,0,0,0,nan,nan,nan,0.00984449,0.00984449,0.00984449
10,75.9763,1.56442,1.31952,1.31451,9e-05,0.02459,5e-05,1e-05,nan,nan,nan,0.00980345,0.00980345,0.00980345
11,81.4383,1.45311,1.29794,1.26168,0.52419,0.02459,0.00264,0.00038,4.32254,223.984,6.81012,0.00975773,0.00975773,0.00975773
12,86.418,1.49541,1.30053,1.31006,0.53179,0.03279,0.00295,0.00078,4.35444,30.6132,7.67145,0.00970736,0.00970736,0.00970736
13,91.7541,1.40813,1.20746,1.29697,0.58333,0.0082,0.00208,0.00037,3.58309,123.523,2.7619,0.00965239,0.00965239,0.00965239
14,96.7759,1.47764,1.26407,1.32735,0.50006,0.0082,1e-05,0,nan,nan,nan,0.00959289,0.00959289,0.00959289
15,101.551,1.62284,1.29969,1.40574,6e-05,0.01639,2e-05,1e-05,nan,nan,nan,0.00952889,0.00952889,0.00952889
16,107.003,1.53465,1.23865,1.31049,0,0,0,0,nan,nan,nan,0.00946048,0.00946048,0.00946048
17,111.755,1.39974,1.15398,1.26494,0,0,0,0,3.63938,7.57913,13.9617,0.00938772,0.00938772,0.00938772
18,116.767,1.46127,1.1816,1.2609,0.19792,0.1082,0.1466,0.06617,2.669,6.60149,4.20912,0.00931067,0.00931067,0.00931067
19,122.363,1.36332,1.15047,1.27511,0.38124,0.44754,0.41489,0.19613,1.66387,2.52125,1.32329,0.00922942,0.00922942,0.00922942
20,126.951,1.35761,1.08725,1.25352,0.22733,0.36754,0.21999,0.1397,1.42482,7.26515,1.37954,0.00914405,0.00914405,0.00914405
21,132.436,1.35421,1.17735,1.26152,0.75473,0.43414,0.51596,0.30934,1.47323,2.17211,1.20139,0.00905463,0.00905463,0.00905463
22,137.668,1.287,1.17036,1.21339,0.09521,0.62131,0.24379,0.14634,1.61152,7.02465,1.34499,0.00896127,0.00896127,0.00896127
23,142.823,1.25438,1.07005,1.21023,0.24135,0.18098,0.17256,0.12241,1.413,5.67099,1.41316,0.00886404,0.00886404,0.00886404
24,147.881,1.26795,1.04113,1.17338,0.53019,0.17639,0.20832,0.13388,1.5361,4.41719,1.47248,0.00876305,0.00876305,0.00876305
25,152.577,1.23668,1.03256,1.18011,0.32418,0.68262,0.61956,0.3955,1.3676,1.70769,1.19686,0.00865839,0.00865839,0.00865839
26,158.197,1.20048,0.97583,1.13544,0.49641,0.67865,0.53819,0.33525,1.27573,1.79255,1.09088,0.00855018,0.00855018,0.00855018
27,163.081,1.20324,0.98551,1.15553,0.59641,0.6541,0.59347,0.39294,1.20551,3.16577,1.06248,0.00843851,0.00843851,0.00843851
28,167.661,1.19666,0.96569,1.16517,0.57572,0.91093,0.72432,0.41733,1.37245,1.63243,1.17289,0.00832349,0.00832349,0.00832349
29,173.403,1.23419,1.00672,1.21657,0.59166,0.79277,0.75551,0.42245,1.48249,1.34641,1.20871,0.00820525,0.00820525,0.00820525
30,177.836,1.15408,0.96649,1.13151,0.63429,0.91252,0.79641,0.47788,1.3375,1.16714,1.14901,0.00808389,0.00808389,0.00808389
31,183.39,1.16475,0.93919,1.16665,0.6119,0.79803,0.74585,0.51372,1.19724,1.07074,1.11476,0.00795954,0.00795954,0.00795954
32,188.313,1.21047,0.95909,1.20983,0.63725,0.7661,0.76693,0.5233,1.18329,1.05036,1.10195,0.00783231,0.00783231,0.00783231
33,193.093,1.21714,0.94892,1.13982,0.33271,0.63246,0.48075,0.3124,1.42359,3.05058,1.22033,0.00770234,0.00770234,0.00770234
34,198.902,1.18975,0.98405,1.14769,0.58388,0.36951,0.45433,0.30123,1.3478,2.99524,1.24693,0.00756976,0.00756976,0.00756976
35,203.816,1.15837,0.98229,1.13782,0.20623,0.44131,0.26567,0.15983,1.69373,4.10923,1.68025,0.00743468,0.00743468,0.00743468
36,208.963,1.12199,0.87941,1.1154,0.29861,0.4423,0.35836,0.2457,1.40159,4.02379,1.3136,0.00729725,0.00729725,0.00729725
37,214.058,1.187,0.90243,1.14862,0.67035,0.62481,0.69744,0.42322,1.46204,1.2195,1.21763,0.00715761,0.00715761,0.00715761
38,218.649,1.22149,0.98391,1.17035,0.50589,0.60725,0.53805,0.35679,1.19867,1.86171,1.04627,0.00701588,0.00701588,0.00701588
39,224.18,1.19989,0.87717,1.13357,0.62278,0.66231,0.62443,0.4201,1.2593,1.90109,1.05287,0.00687222,0.00687222,0.00687222
40,229.088,1.16514,0.9232,1.12948,0.55709,0.79466,0.69918,0.48114,1.18046,1.18315,1.06691,0.00672675,0.00672675,0.00672675
41,234.134,1.20867,0.90709,1.15289,0.59879,0.92262,0.70013,0.3926,1.50729,1.24839,1.15569,0.00657963,0.00657963,0.00657963
42,239.523,1.15425,0.90141,1.11936,0.73973,0.82115,0.83617,0.58509,1.08897,0.9392,0.98357,0.00643101,0.00643101,0.00643101
43,244.384,1.16073,0.93291,1.09693,0.63793,0.87161,0.76351,0.43144,1.41288,1.19714,1.11986,0.00628101,0.00628101,0.00628101
