epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32288,1.20938,3.82434,0.88076,0.00404,1,0.06142,0.03137,0.9817,3.66209,0.78106,0.00026672,0.00026672,0.00026672
2,8.52895,0.98785,1.93234,0.85274,0.00366,1,0.01984,0.01247,0.8241,3.58639,0.77229,0.000495649,0.000495649,0.000495649
3,11.8302,0.941,1.75389,0.85866,0.00292,0.91082,0.0172,0.01293,0.86403,3.51671,0.80699,0.000668467,0.000668467,0.000668467
4,16.6053,0.94324,1.5728,0.87358,0.00329,1,0.07477,0.0597,0.82451,3.25814,0.7957,0.000785174,0.000785174,0.000785174
5,19.847,0.90582,1.40609,0.84555,0.97451,0.15269,0.62648,0.48951,0.79311,2.52196,0.7996,0.000845769,0.000845769,0.000845769
6,22.9715,0.88428,1.34225,0.85015,0.95507,0.31529,0.82635,0.65204,0.77629,1.99851,0.79714,0.000841835,0.000841835,0.000841835
7,26.8222,0.86272,1.31017,0.8528,0.82147,0.69932,0.86231,0.66549,0.77677,1.48541,0.80219,0.000676802,0.000676802,0.000676802
8,30.1973,0.7667,1.14162,0.86457,0.7492,0.75202,0.86095,0.71572,0.6731,1.31218,0.79187,0.000511769,0.000511769,0.000511769
9,33.2611,0.72539,1.11964,0.84073,0.74677,0.79767,0.86438,0.71356,0.65056,1.0179,0.78583,0.000346736,0.000346736,0.000346736
10,36.3891,0.66064,1.02314,0.81207,0.74127,0.83893,0.86986,0.73696,0.60334,0.875,0.78206,0.000181703,0.000181703,0.000181703
