epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.503,2.23195,4.52629,1.35017,0.00019,0.02985,0.00012,1e-05,1.51331,4.16293,1.25179,0.0009,0.0009,0.0919
2,34.0019,1.88122,3.02792,1.57802,0,0,0,0,3.96584,7.35174,15.2943,0.00189954,0.00189954,0.0828995
3,38.7188,1.72905,1.95509,1.45955,0,0,0,0,nan,nan,nan,0.00289717,0.00289717,0.0738972
4,43.2996,1.7312,1.65449,1.44811,0,0,0,0,nan,nan,nan,0.00389143,0.00389143,0.0648914
5,47.9043,1.54638,1.61019,1.32107,0,0,0,0,nan,nan,nan,0.00488087,0.00488087,0.0558809
6,52.6043,1.55762,1.50187,1.38183,0,0,0,0,nan,nan,nan,0.00586404,0.00586404,0.046864
7,56.7924,1.52465,1.48489,1.36442,0,0,0,0,nan,nan,nan,0.0068395,0.0068395,0.0378395
8,61.4461,1.52288,1.49928,1.34588,0,0,0,0,nan,nan,nan,0.00780582,0.00780582,0.0288058
9,67.0459,1.44495,1.42299,1.31003,0,0,0,0,nan,nan,nan,0.00876159,0.00876159,0.0197616
10,71.4199,1.5141,1.3841,1.31438,0,0,0,0,nan,nan,nan,0.00970542,0.00970542,0.0107054
11,76.5754,1.47062,1.39346,1.28189,0,0,0,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,81.1237,1.43511,1.39827,1.28188,0,0,0,0,3.93542,inf,23.8106,0.00970736,0.00970736,0.00970736
13,85.8168,1.37712,1.35652,1.25559,0.00342,0.08641,0.00085,0.00025,3.51396,inf,5.96907,0.00965239,0.00965239,0.00965239
14,90.5765,1.40949,1.27518,1.28939,0,0,0,0,4.43826,inf,24.2145,0.00959289,0.00959289,0.00959289
15,95.1049,1.42181,1.17553,1.287,0.02833,0.11233,0.05856,0.02337,3.30516,5.80692,3.68935,0.00952889,0.00952889,0.00952889
16,100.118,1.45535,1.24904,1.34405,0.65219,0.10526,0.13774,0.07019,2.75427,3.93845,3.31601,0.00946048,0.00946048,0.00946048
